嗚呼	ああ	aa	Ah!, Oh!, Alas!	Ах!; О!; Увы !
相	あい	ai	together, mutually, fellow	вместе; взаимно
相変わらず	あいかわらず	aikawarazu	as ever, as usual, the same	как всегда; как обычно
愛想	あいそ	aiso	civility, courtesy, compliments, sociability, graces	вежливость; учтивость; комплименты; коммуникабельность
相対	あいたい	aitai	confrontation, facing, between ourselves, no third party, tete-a-tete	противостояние; тет -а- тет
間柄	あいだがら	aidagara	relation(ship)	отношения; взаимоотношения; родство
愛憎	あいぞう	aizou	likes and dislikes	любовь и ненависть
合間	あいま	aima	interval	интервал
曖昧	あいまい	aimai	vague, ambiguous	расплывчато; неоднозначно
敢えて	あえて	aete	dare (to do), challenge (to do)	осмелится
仰ぐ	あおぐ	aogu	to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take	уважать; зависить от; просить
垢	あか	aka	dirt, filth	грязь; мерзость
亜科	あか	aka	suborder, subfamily	подотряд; подсемейство
銅	あかがね	akagane	copper	медь
証	あかし	akashi	proof, evidence	доказательство; свидетельство
赤字	あかじ	akaji	deficit, go in the red	дефицит
明かす	あかす	akasu	to pass, spend, to reveal, to divulge	показать; разглашать
赤ちゃん	あかちゃん	akachan	baby, infant	ребенок; младенец
明白	あからさま	akarasama	obvious, overt, plainly, frankly	очевидно; открыто; прямо; откровенно
赤らむ	あからむ	akaramu	to become red, to redden, to blush	краснеть
明るい	あかるい	akarui	bright, cheerful	яркий; веселый
上がり	あがり	agari	1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after	склон; доход; урожайность; подъем; завершение
上がる	あがる	agaru	to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve, to call on,	войти; подняться; двигаться вперед; улучшить
商人	あきうど	akiudo	trader, shopkeeper, merchant	трейдер; продавец
空間	あきま	akima	vacancy, room for rent or lease	вакансия; комната в аренду
諦め	あきらめ	akirame	resignation, acceptance, consolation	отставка; принятие; утешение
呆れる	あきれる	akireru	to be amazed, to be shocked	удивляться; быть шокированым
悪	あく	aku	evil, wickedness	зло;
灰	あく	aku	ash	пепел; зола
	あくどい	akudoi	1. gaudy, showy, excessive, 2. vicious	яркие; чрезмерный
悪日	あくび	akubi	unlucky day	неудачный день
明くる	あくる	akuru	next, following	следующий; после
憧れ	あこがれ	akogare	yearning, longing, aspiration	тоска; стремление
顎	あご	ago	chin	подбородок
麻	あさ	asa	flax, linen, hemp	лен; конопля
明後日	あさって	asatte	day after tomorrow	послезавтра
朝寝坊	あさねぼう	asanebou	oversleeping, late riser	спать допоздна
浅ましい	あさましい	asamashii	wretched, miserable, shameful, mean, despicable, abject	несчастный; жалкий; стыдно; презренный;
字	あざ	aza	section of village	часть населённого пункта с собственным названием
欺く	あざむく	azamuku	to deceive	обмануть
鮮やか	あざやか	azayaka	vivid, clear, brilliant	яркий; блестящий
あざ笑う	あざわらう	azawarau	to sneer at, to ridicule	насмехаться над
味わい	あじわい	ajiwai	flavour, meaning, significance	вкус; смысл; значение
東	あずま	azuma	east, Eastern Japan	восток; восточная Япония
焦る	あせる	aseru	to be in a hurry, to be impatient	быть в спешке; быть нетерпеливым
彼処	あそこ	asoko	1. (uk) there, over there, that place, 2. (X) (col) genitals	там; что место
値	あたい	atai	value, price, cost, worth, merit	значение; цена; стоимость
値する	あたいする	ataisuru	to be worth, to deserve, to merit	стоить; заслужить;
私	あたし	atashi	I (fem)	я (женский вариант)
当たり	あたり	atari	hit, success, reaching the mark, per ..., vicinity, neighborhood	попадание; успех; окрестности; район
当たり前	あたりまえ	atarimae	usual, common, ordinary, natural, reasonable, obvious	обычно; естественно; разумно; очевидно
他人	あだびと	adabito	another person, unrelated person, outsider, stranger	другой человек; посторонний
彼方此方	あちこち	achikochi	here and there	там и сям
彼方	あちら	achira	1. there, yonder, that	там; вон там
彼方此方	あちらこちら	achirakochira	here and there	там и сям
悪化	あっか	akka	deterioration, growing worse, aggravation, degeneration, corruption	ухудшение; обострение
呆気ない	あっけない	akkenai	not enough, too quick (short long etc.)	неинтересный; разочаровывающий; слишком простой
悪口	あっこう	akkou	abuse, insult, slander, evil speaking	насилие; оскорбление; клевета; злоречие
	あっさり	assari	easily, readily, quickly	легко; легко; быстро
圧迫	あっぱく	appaku	pressure, coercion, oppression	давление; принуждение; угнетение
扱い	あつかい	atsukai	treatment, service	лечение; обслуживание
集まる	あつまる	atsumaru	to gather, to collect, to assemble	собирать
誂える	あつらえる	atsuraeru	to give an order, to place an order	отдать приказ; разместить заказ
圧力	あつりょく	atsuryoku	stress, pressure	стресс; давление
当て	あて	ate	object, aim, end, hopes, expectations	объект; цель; надежды; ожидания
宛	あて	ate	addressed to	на имя
当て字	あてじ	ateji	phonetic-equivalent character, substitute character	фонетически использованный иероглиф
当てはまる	あてはまる	atehamaru	to apply (a rule)	применять (правило)
当てはめる	あてはめる	atehameru	to apply, to adapt	применяться; адаптировать
宛てる	あてる	ateru	to address	по адресу
跡継ぎ	あとつぎ	atotsugi	heir, successor	наследник; преемник
後回し	あとまわし	atomawashi	putting off, postponing	отстрочка; откладывая
貴女	あなた	anata	you, lady	вы (обращение к женщине)
彼の	あの	ano	that over there	что там
溢れる	あふれる	afureru	to flood, to overflow, to brim over	затопить; переполнить; переливаться через край
油絵	あぶらえ	aburae	oil painting	живопись масляными красками
炙る	あぶる	aburu	to scorch	палить
	あべこべ	abekobe	contrary, opposite, inverse	напротив; вверх ногами
甘える	あまえる	amaeru	to behave like a spoiled child, to fawn on	вести себя как избалованный ребенок
甘口	あまくち	amakuchi	sweet flavour, mildness, flattery, stupidity	лесть
雨具	あまぐ	amagu	rain gear	защита от дождя
天	あまつ	amatsu	heavenly, imperial	небесный; имперский
網	あみ	ami	net, network	сеть
天地	あめつち	ametsuchi	heaven and earth, the universe, nature, top and bottom, realm, sphere, world	небо и земля; вселенная; природа; сверху и снизу; царство; сфера; мир
操る	あやつる	ayatsuru	to manipulate, to operate, to pull strings	манипулировать; управлять
	あやふや	ayafuya	uncertain, vague, ambiguous	неопределенный; расплывчатый; неоднозначный
危ぶむ	あやぶむ	ayabumu	to fear, to have misgivings, to be doubtful, to mistrust	бояться; сомневаться
過ち	あやまち	ayamachi	fault, error, indiscretion	ошибка; неосторожность
誤る	あやまる	ayamaru	to make a mistake	ошибаться
歩み	あゆみ	ayumi	walking	ходьба
歩む	あゆむ	ayumu	to walk, to go on foot	ходить пешком
	あら	ara	oh, ah, saw-edged perch (Niphon spinosus)	ой; ах; морской окунь
予め	あらかじめ	arakajime	beforehand, in advance, previously	заранее; ранее
荒らす	あらす	arasu	to lay waste, to devastate, to damage, to invade, to break into	опустошать; разорять; портить; не следить; запускать
粗筋	あらすじ	arasuji	outline, summary	наброски; резюме
争い	あらそい	arasoi	dispute, strife, quarrel, dissension, conflict, rivalry, contest	спор; ссора; разногласия; конфликт; соперничество
改まる	あらたまる	aratamaru	to be renewed	меняться,обновляться; исправляться; улучшаться
荒っぽい	あらっぽい	arappoi	rough, rude	грубо
凡ゆる	あらゆる	arayuru	all, every	все; каждый
	あられ	arare	kind of cookie, cartoon character	град; что-л. мелко нарезанное
現われ	あらわれ	araware	embodiment, materialization	воплощение; материализация
現われる	あらわれる	arawareru	to appear, to come in sight, to become visible, to come out, to embody, to materialize, to express oneself	появляться; прийти в поле зрения; стать видимым; выйти; материализоваться; выразить себя
有難う	ありがとう	arigatou	Thank you	спасибо
有様	ありさま	arisama	state, condition, circumstances, the way things are or should be, truth	состояние; обстоятельства; способ; правда
有りのまま	ありのまま	arinomama	the truth, fact, as it is, frankly	правда; факт; честно говоря
或る	ある	aru	a certain..., some...	определенный; некоторый
或いは	あるいは	aruiwa	or, possibly	или; возможно;
彼此	あれこれ	arekore	one thing or another, this and that, this or that	одно или другое; то и это; то или иное
合わす	あわす	awasu	to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to	быть напротив; объединить; соединить; добавить до
合わせ	あわせ	awase	joint together, opposite, facing	соединение
慌ただしい	あわただしい	awatadashii	busy, hurried, confused, flurried	занятый; поспешный; запутанный; взбудораженный
慌てる	あわてる	awateru	to become confused (disconcerted disorganized)	запутать; приводить в замешательство
暗殺	あんさつ	ansatsu	assassination	убийство
暗算	あんざん	anzan	mental arithmetic	счет в уме
暗示	あんじ	anji	hint, suggestion	намек; предложение
案じる	あんじる	anjiru	to be anxious, to ponder	тревожиться; обдумвыать
安静	あんせい	ansei	rest	остальные
案の定	あんのじょう	annojou	sure enough, as usual	конечно же; как обычно
余り	あんまり	anmari	not very (this form only used as adverb), not much, remainder, rest, remnant, surplus, balance, excess, rema	не очень (только в качестве наречия); не так много; остаток; излишек; баланс
依	い	i	depending on	зависимость (в сочетаниях)
良い	いい	ii	good	хорошо
否	いいえ	iie	no, nay, yes, well	нет
いい加減	いいかげん	iikagen	moderate, right, random, not thorough, vague, irresponsible, halfhearted	умеренный; в меру; подходящий; правильный
言い訳	いいわけ	iiwake	excuse, explanation	извинение; объяснение
家出	いえで	iede	running away from home, leaving home	выход из дома
家主	いえぬし	ienushi	landlord	домовладелец
如何	いかが	ikaga	how, in what way	как; каким образом
生かす	いかす	ikasu	to revive, to resuscitate, to make use of	возродить; реанимировать; чтобы использовать из
雷	いかずち	ikazuchi	thunder	гром
如何に	いかに	ikani	how?, in what way?, how much?, however, whatever	как?; то каким образом?; сколько?
如何にも	いかにも	ikanimo	indeed, really, phrase meaning agreement	действительно; фраза означающая согласие
怒り	いかり	ikari	anger, hatred	гнев; ненависть
怒る	いかる	ikaru	to get angry, to be angry	сердиться; злиться
歪む	いがむ	igamu	to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant, to be perv	деформировать; свернуть; сгибать
粋	いき	iki	chic, style, purity, essence	суть; квинтэссенция; лучшее; утончённость; деликатность
域外	いきがい	ikigai	outside the area	вне зоны
意気込む	いきごむ	ikigomu	to be enthusiastic about	быть в восторге
経緯	いきさつ	ikisatsu	1. details, whole story, sequence of events, particulars, how it started, how things got this way, 2. c	детали; последовательность событий; обстоятельства
行き違い	いきちがい	ikichigai	misunderstanding, estrangement, disagreement, crossing without meeting, going astray	недоразумение; разногласия
行き成り	いきなり	ikinari	suddenly	вдруг
異議	いぎ	igi	objection, dissent, protest	возражение; несогласие; протест
	いく	iku	to come, to orgasm	прийти
軍/戦	いくさ	ikusa	war, battle, campaign, fight	война; сражение; кампания; борьба
育成	いくせい	ikusei	rearing, training, nurture, cultivation, promotion	разведение; обучение; воспитание; выращивание; продвижение
幾多	いくた	ikuta	many, numerous	многие; многочисленные
活ける	いける	ikeru	to arrange (flowers)	оживлять; использовать наилучшим образом
異見	いけん	iken	different opinion, objection	другое мнение; возражение
意向	いこう	ikou	intention, idea, inclination	намерение; идея; наклон
移行	いこう	ikou	switching over to	переход на
	いざ	iza	now, come (now), well, crucial moment	ну-ка,ну; критический момент
碑	いしぶみ	ishibumi	stone monument bearing an inscription	каменный монумент с надписью
衣装	いしょう	ishou	clothing, costume, outfit, garment, dress	одежда; костюм; снаряжение
意地	いじ	iji	disposition, spirit, willpower, obstinacy, backbone, appetite	дух; сила воли; упрямство
苛める	いじめる	ijimeru	to tease, to torment, to persecute, to chastise	дразнить; мучить
移住	いじゅう	ijuu	migration, immigration	миграция; иммиграция
弄る	いじる	ijiru	to touch, to tamper with	вертеть в руках; трогать; играть с чем-л.; возиться
何れ	いずれ	izure	where, which, who, anyway, anyhow, at any rate	которые; так или иначе; во всяком случае
異性	いせい	isei	the opposite sex	противоположный пол
遺跡	いせき	iseki	historic ruins (remains relics)	руины
依然	いぜん	izen	still, as yet	тем не менее; до сих пор
依存	いそん	ison	dependence, dependent, reliance	зависимость
