嗚呼	ああ	aa	Ах!; О!; Увы !
相	あい	ai	вместе; взаимно 
相変わらず	あいかわらず	aikawarazu	как всегда; как обычно
愛想	あいそ	aiso	вежливость; учтивость; комплименты; коммуникабельность
相対	あいたい	aitai	противостояние; тет -а- тет
間柄	あいぞう	aidagara	отношения; взаимоотношения; родство
愛憎	あいにく	aizou	любовь и ненависть
合間	あいま	aima	интервал
曖昧	あいまい	aimai	расплывчато; неоднозначно
敢えて	あえて	aete	осмелится
仰ぐ	あおぐ	aogu	уважать; зависить от; просить 
垢	あか	aka	грязь; мерзость
亜科	あか	aka	подотряд; подсемейство
銅	あかがね	akagane	медь
証	あかし	akashi	доказательство; свидетельство
赤字	あかじ	akaji	дефицит 
明かす	あかす	akasu	показать; разглашать
赤ちゃん	あかちゃん	akachan	ребенок; младенец
明白	あからさま	akarasama	очевидно; открыто; прямо; откровенно
赤らむ	あからむ	akaramu	краснеть
明るい	あかるい	akarui	яркий; веселый
上がり	あがり	agari	склон; доход; урожайность; подъем; завершение
上がる	あがる	agaru	войти; подняться; двигаться вперед; улучшить 
商人	あきうど	akiudo	трейдер; продавец
空間	あきま	akima	вакансия; комната в аренду 
諦め	あきらめ	akirame	отставка; принятие; утешение
呆れる	あきれる	akireru	удивляться; быть шокированым
悪	あく	aku	зло; 
灰	あく	aku	пепел; зола
	あくどい	akudoi	яркие; чрезмерный 
悪日	あくび	akubi	неудачный день
明くる	あくる	akuru	следующий; после
憧れ	あこがれ	akogare	тоска; стремление
顎	あご	ago	подбородок
麻	あさ	asa	лен; конопля
明後日	あさって	asatte	послезавтра
朝寝坊	あさねぼう	asanebou	спать допоздна
浅ましい	あさましい	asamashii	несчастный; жалкий; стыдно; презренный; 
字	あざ	aza	часть населённого пункта с собственным названием
欺く	あざむく	azamuku	обмануть
鮮やか	あざやか	azayaka	яркий; блестящий
あざ笑う	あざわらう	azawarau	насмехаться над 
味わい	あじわい	ajiwai	вкус; смысл; значение
東	あずま	azuma	восток; восточная Япония
焦る	あせる	aseru	быть в спешке; быть нетерпеливым
彼処	あそこ	asoko	там; что место
値	あたい	atai	значение; цена; стоимость
値する	あたいする	ataisuru	стоить; заслужить; 
私	あたし	atashi	я (женский вариант)
当たり	あたり	atari	попадание; успех; окрестности; район
当たり前	あたりまえ	atarimae	обычно; естественно; разумно; очевидно
他人	あだびと	adabito	другой человек; посторонний
彼方此方	あちこち	achikochi	там и сям
彼方	あちら	achira	там; вон там 
彼方此方	あちらこちら	achirakochira	там и сям
悪化	あっか	akka	ухудшение; обострение 
呆気ない	あっけない	akkenai	неинтересный; разочаровывающий; слишком простой
悪口	あっこう	akkou	насилие; оскорбление; клевета; злоречие
	あっさり	assari	легко; легко; быстро
圧迫	あっぱく	appaku	давление; принуждение; угнетение
扱い	あつかい	atsukai	лечение; обслуживание
集まる	あつまる	atsumaru	собирать
