	あっ	a	Ah!;Oh!
愛	あい	ai	love
挨拶	あいさつ	aisatsu	greeting;salutation
愛情	あいじょう	aijou	love;affection
合図	あいず	aizu	sign;signal
	アイスクリーム	aisukuriimu	ice cream
愛する	あいする	aisuru	to love
相手	あいて	aite	companion;partner;company
	あいにく	ainiku	unfortunately;Sorry; but....
	アイロン	airon	(electric) iron
	アウト	auto	out
明かり	あかり	akari	lamplight;light (in general);brightness
空き	あき	aki	room;time to spare;emptiness
明らか	あきらか	akiraka	obvious;evident;clear
諦める	あきらめる	akirameru	to give up;to abandon
飽きる	あきる	akiru	to get tired of;to lose interest in;to have enough
握手	あくしゅ	akushu	handshake
悪魔	あくま	akuma	devil;demon;evil spirit
明ける	あける	akeru	to dawn;to become daylight
	あした	ashita	tomorrow
預ける	あずける	azukeru	to give into custody;to entrust;to deposit
汗	あせ	ase	sweat;perspiration
与える	あたえる	ataeru	to give;to present;to award
暖かい	あたたか(い)	atataka(i)	warm;mild
辺り	あたり	atari	vicinity;nearby
当たる	あたる	ataru	to be hit;to be successful;to be equivalent to
	あちこち	achikochi	here and there
扱う	あつかう	atsukau	to handle;to deal with;to treat
集まり	あつまり	atsumari	gathering;meeting;assembly;collection
当てる	あてる	ateru	to hit;to apply a patch
跡	あと	ato	(1) trace;tracks;mark;sign;(2) remains;ruins;(3) scar
穴	あな	ana	hole
浴びる	あびる	abiru	to bathe;to bask in the sun;to shower
油	あぶら	abura	oil
余り	あまり	amari	not very (used as adverb);not much
誤り	あやまり	ayamari	error
粗	あら	ara	defect;flaw;blemish;weak point
嵐	あらし	arashi	storm;tempest
新た	あらた	arata	new;fresh;novel
	あらゆる	arayuru	all;every
表す	あらわす	arawasu	to express;to show;to reveal
現す	あらわす	arawasu	to show;to indicate;to display
現れ	あらわれ	araware	embodiment;materialization
現れる	あらわれる	arawareru	(1) to appear;to come in sight;to become visible;(2) to express oneself
有る	ある	aru	to be;to have
或	ある	aru	a certain...;some...
	あるいは	aruiha	or;possibly
	アルバム	arubamu	album
泡	あわ	awa	bubble;foam;froth;head on beer
合わせる	あわせる	awaseru	to join together;to be opposite;to face;to unite
哀れ	あわれ	aware	helpless;pity;sorrow;grief
案	あん	an	plan;suffix meaning draft
暗記	あんき	anki	memorization;learning by heart
安定	あんてい	antei	stability;equilibrium
案内	あんない	annai	information;guidance;leading
	あんなに	annani	to that extent;to that degree
