	あっ	a	ах
愛	あい	ai	любовь
挨拶	あいさつ	aisatsu	приветствие; приветствие
愛情	あいじょう	aijou	любовь; любовь
合図	あいず	aizu	сигнал
	アイスクリーム	aisukuriimu	мороженое
愛する	あいする	aisuru	любить
相手	あいて	aite	партнер; оппонент
	あいにく	ainiku	к сожалению ; но ....
	アイロン	airon	утюг
	アウト	auto	вне
明かり	あかり	akari	свет лампы, свет (в общем); яркость
空き	あき	aki	комната; свободноге время; пустота
明らか	あきらか	akiraka	очевидно; ясно
諦める	あきらめる	akirameru	отказываться от; сдаваться
飽きる	あきる	akiru	надоедать; терять интерес к; иметь достаточно
握手	あくしゅ	akushu	рукопожатие
悪魔	あくま	akuma	демон; злой дух
明ける	あける	akeru	светать
	あした	ashita	завтра
預ける	あずける	azukeru	давать на время; сдавать на хранение
汗	あせ	ase	пот
与える	あたえる	ataeru	дать; представить; наградить
暖かい	あたたか(い)	atataka(i)	теплый 
辺り	あたり	atari	окрестности 
当たる	あたる	ataru	попадать; попадать (под дождь и т.п.); быть угаданным; иметь успех
	あちこち	achikochi	там и сям
扱う	あつかう	atsukau	обращаться; иметь дело с 
集まり	あつまり	atsumari	сбор; встреча; сборка; коллекция
当てる	あてる	ateru	ударить 
跡	あと	ato	след;руины;шрам
穴	あな	ana	отверстие
浴びる	あびる	abiru	купаться; чтобы погреться на солнце; принять душ
油	あぶら	abura	масло
余り	あまり	amari	не очень (используется как наречие); не так много
誤り	あやまり	ayamari	ошибка
粗	あら	ara	отбросы; недостаток 
嵐	あらし	arashi	буря 
新た	あらた	arata	новый; свежий 
	あらゆる	arayuru	всяческие; всевозможные
表す	あらわす	arawasu	выразить; показать; раскрыть
現す	あらわす	arawasu	показыать; указывать, отображать
現れ	あらわれ	araware	воплощение; материализация
現れる	あらわれる	arawareru	появляться; прийти в поле зрения; стать видимым 
有る	ある	aru	быть; находиться где-л
或	ある	aru	определенный, некоторый
	あるいは	aruiwa	или; либо; возможно же;
	アルバム	arubamu	альбом
泡	あわ	awa	пена 
合わせる	あわせる	awaseru	объединяться, быть напротив; объединить
