	あ	a	Ah	ах
	ああ	aa	like that	таким образом
	あいさつ・する	aisatsu suru	to greet	приветствовать
間	あいだ	aida	a space	пространство
合う	あう	au	to match	соответствовать
	あかちゃん	akachan	infant	младенец
上る	あがる	agaru	to rise	расти
赤ん坊	あかんぼう	akanbou	baby	ребенок
空く	あく	aku	to open; to become empty	быть пустым; иметь зазор
	アクセサリー	akusesarii	accessory	аксессуар
	あげる	ageru	to give	давать (вежл)
浅い	あさい	asai	shallow;superficial	мелкий; поверхностный
味	あじ	aji	flavour	вкус
	アジア	ajia	Asia	Азия
明日	あす	asu	tomorrow	завтра
遊び	あそび	asobi	play	играть
集る	あつまる	atsumaru	to gather	собирать
集める	あつめる	atsumeru	to collect something	собрать; коллекционировать
	アナウンサー	anaunsaa	announcer	диктор
	アフリカ	afurika	Africa	Африка
	アメリカ	amerika	America	Америка
謝る	あやまる	ayamaru	to apologize	извиняться
	アルコール	arukooru	alcohol	алкоголь
	アルバイト	arubaito	part-time job	работать на неполный рабочий день
安心	あんしん	anshin	relief	спокойствие
安全	あんぜん	anzen	safety	безопасность
	あんな	anna	such	такой; такие
案内	あんない・する	annai suru	to guide	давать руководство; информировать
以下	いか	ika	less than	менее
以外	いがい	igai	with the exception of	за исключением
医学	いがく	igaku	medical science	медицина
生きる	いきる	ikiru	to live	жить
意見	いけん	iken	opinion	мнение
石	いし	ishi	stone	камень
	いじめる	ijimeru	to tease	дразнить
以上	いじょう	ijou	more than;this is all	более
急ぐ	いそぐ	isogu	to hurry	спешить
致す	いたす	itasu	(humble) to do	(скромно) делать
	いただく	itadaku	(humble) to receive	(скромно) получать
一度	いちど	ichido	once	один раз
一生懸命	いっしょうけんめい	isshoukenmei	with utmost effort	на пределе усилий
	いっぱい	ippai	full	сполна
糸	いと	ito	thread	нить
以内	いない	inai	within	в
田舎	いなか	inaka	countryside	сельская местность
祈る	いのる	inoru	to pray	молиться; желать (в поздравлении)
	いらっしゃる	irassharu	(respectful) to be;to come or to go	(уважительно) быть; приходить
	いっていらっしゃい (いってらっしゃい)	itteirasshai	(often in response to いってきます) have a good day; take care; see you	(часто в ответ на いっ て き ます) хорошего дня
	いってまいります	ittemairimasu	good bye; I'm off; see you later	до свидания, я ухожу; увидимся позже
植える	うえる	ueru	to plant;to grow	посадить ; вырастить
	うかがう	ukagau	to visit	посещать
受付	うけつけ	uketsuke	receipt	квитанция
受ける	うける	ukeru	to take a lesson or test	проходить урок или тест
動く	うごく	ugoku	to move	двигаться
	うそ	uso	a lie	ложь
	うち	uchi	within	пока
打つ	うつ	utsu	to hit	ударять; бить
美しい	うつくしい	utsukushii	beautiful	красивый
写す	うつす	utsusu	to copy or photograph	копировать; фотографировать
移る	うつる	utsuru	to move house or transfer	переезжать; переселяться
腕	うで	ude	arm	рука
	うまい	umai	delicious	вкусный
裏	うら	ura	reverse side	обратная сторона
売り場	うりば	uriba	place where things are sold	прилавок; торговый зал
	うれしい	ureshii	glad	радостный; счастливый
	うん	un	(informal) yes	(разг.) да
運転	うんてん・する	unten suru	to drive	водить
運転手	うんてんしゅ	untenshu	driver	водитель
運動	うんどう・する	undou suru	to exercise	движение; физические упражнения
	エスカレーター	esukareetaa	escalator	эскалатор
枝	えだ	eda	branch; twig	филиал ; ветка
選ぶ	えらぶ	erabu	to choose	выбрать
遠慮	えんりょ・する	enryo suru	to be reserved; to be restrained	предусмотрительность; скромность
	おいでになる	oideninaru	(respectful) to be	(уважительно) быть
お祝い	おいわい	oiwai	congratulation	поздравление
	オートバイ	ootobai	motorcycle	мотоцикл
	おかげ	okage	owing to	благодаря
	おかしい	okashii	strange or funny	странно; смешно
億	おく	oku	one hundred million	сто миллионов
屋上	おくじょう	okujou	rooftop	на крыше
贈り物	おくりもの	okurimono	gift	подарок
送る	おくる	okuru	to send	отправлять
遅れる	おくれる	okureru	to be late	опаздывать
起す	おこす	okosu	to wake	будить
行う	おこなう	okonau	to do	делать; исполнять
怒る	おこる	okoru	to get angry;to be angry	сердиться ; злиться
押し入れ	おしいれ	oshiire	closet	стенной шкаф
お嬢さん	おじょうさん	ojousan	young lady	девушка;барышня
お宅	おたく	otaku	(polite) your house	(вежливо) ваш дом
落る	おちる	ochiru	to fall or drop	падать
	おっしゃる	ossharu	(respectful) to say	(уважительно) говорить
夫	おっと	otto	husband	муж
	おつり	otsuri	change from purchase; balance	сдача
音	おと	oto	sound;note	звук ; нота
落す	おとす	otosu	to drop	падать
踊り	おどり	odori	a dance	танец
踊る	おどる	odoru	to dance	танцевать
驚く	おどろく	odoroku	to be surprised	удивляться
お祭り	おまつり	omatsuri	festival	фестиваль
お見舞い	おみまい	omimai	calling on someone who is ill;enquiry	навещать больных
お土産	おみやげ	omiyage	souvenir	сувенир
思い出す	おもいだす	omoidasu	to remember	помнить
思う	おもう	omou	to think;to feel	думать ; чувствовать
	おもちゃ	omocha	toy	игрушка
表	おもて	omote	the front	передняя сторона
親	おや	oya	parents	родители
下りる	おりる	oriru	to get off	выйти(из транспорта); спуститься
折る	おる	oru	to break or to fold	ломать; складывать
お礼	おれい	orei	expression of gratitude	благодарность; вежливость
折れる	おれる	oreru	to break or be folded	быть сломленным; быть сложенным
終わり	おわり	owari	the end	конец
	カーテン	kaaten	curtain	занавеска
海岸	かいがん	kaigan	coast	побережье
会議	かいぎ	kaigi	meeting	встреча; собрание
会議室	かいぎしつ	kaigishitsu	meeting room	конференц-зал
会場	かいじょう	kaijou	assembly hall or meeting place	актовый зал; место встречи
会話	かいわ	kaiwa	conversation	разговор
帰り	かえり	kaeri	return	возвращение
変える	かえる	kaeru	to change	меняться
科学	かがく	kagaku	science	наука
鏡	かがみ	kagami	mirror	зеркало
掛ける	かける	kakeru	to hang something	висеть; прислоняться;
飾る	かざる	kazaru	to decorate	украшать
火事	かじ	kaji	fire	пожар
	ガス	gasu	petrol	газ
	ガソリン	gasorin	petrol	бензин
	ガソリンスタンド	gasorinsutando	petrol station	АЗС
堅/硬/固い	かたい	katai	hard	жесткий; твердый
形	かたち	katachi	shape	форма
片付ける	かたづける	katazukeru	to tidy up	приводить в порядок
課長	かちょう	kachou	section manager	заведующий отделом
勝つ	かつ	katsu	to win	побеждать
	かっこう	kakkou	appearance	форма; очертания
家内	かない	kanai	housewife	домохозяйка; жена
悲しい	かなしい	kanashii	sad	печальный
必ず	かならず	kanarazu	certainly;necessarily	конечно ; обязательно
お・金持ち	かねもち/おかねもち	kanemochi/okanemochi	rich man	богач
彼女	かのじょ	kanojo	she;girlfriend	она
壁	かべ	kabe	wall	стена
	かまう	kamau	to mind	беспокоиться; обращать внимание
髪	かみ	kami	hair	волосы
噛む	かむ	kamu	to bite;to chew	кусать; грызть
通う	かよう	kayou	to commute	ходить [туда и обратно]; циркулировать
	ガラス	garasu	a glass pane	стекло
彼	かれ	kare	he;boyfriend	он
彼ら	かれら	karera	they	они
乾く	かわく	kawaku	to get dry	высушивать
代わり	かわり	kawari	substitute;alternate	замена
変わる	かわる	kawaru	to change	изменяться; переменяться
考える	かんがえる	kangaeru	to consider	рассмотреть
関係	かんけい	kankei	relationship	связь; отношение
看護婦	かんごふ	kangofu	female nurse	медсестра; сиделка
簡単	かんたん	kantan	simple	простой
気	き	ki	spirit;mood	дух ; настроение
機会	きかい	kikai	opportunity	возможность; шанс
危険	きけん	kiken	danger	опасность
聞こえる	きこえる	kikoeru	to be heard	быть слышным; звучать
汽車	きしゃ	kisha	steam train	паровоз
技術	ぎじゅつ	gijutsu	art;technology;skill	искусство; технология ; мастерство
季節	きせつ	kisetsu	season	сезон
規則	きそく	kisoku	regulations	правила
