	あ	a	ах
	ああ	aa	таким образом
	あいさつ・する	aisatsu suru	приветствовать
間	あいだ	aida	пространство
合う	あう	au	соответствовать
	あかちゃん	akachan	младенец
上る	あがる	agaru	расти
赤ん坊	あかんぼう	akanbou	ребенок
空く	あく	aku	 быть пустым; иметь зазор
	アクセサリー	akusesarii	аксессуар
	あげる	ageru	давать (вежл)
浅い	あさい	asai	мелкий; поверхностный
味	あじ	aji	вкус
	アジア	ajia	Азия
明日	あす	asu	завтра
遊び	あそび	asobi	играть
集る	あつまる	atsumaru	собирать
集める	あつめる	atsumeru	собрать; коллекционировать
	アナウンサー	anaunsaa	диктор
	アフリカ	afurika	Африка
	アメリカ	amerika	Америка
謝る	あやまる	ayamaru	извиняться
	アルコール	arukooru	алкоголь
	アルバイト	arubaito	работать на неполный рабочий день
安心	あんしん	anshin	спокойствие
安全	あんぜん	anzen	безопасность
	あんな	anna	такой; такие
案内	あんない・する	annai suru	давать руководство; информировать
以下	いか	ika	менее
以外	いがい	igai	за исключением
医学	いがく	igaku	медицина
生きる	いきる	ikiru	жить
意見	いけん	iken	мнение
石	いし	ishi	камень
	いじめる	ijimeru	дразнить
以上	いじょう	ijou	более
急ぐ	いそぐ	isogu	спешить
致す	いたす	itasu	(скромно) делать
	いただく	itadaku	(скромно) получать
一度	いちど	ichido	один раз
一生懸命	いっしょうけんめい	isshoukenmei	на пределе усилий
	いっぱい	ippai	сполна
糸	いと	ito	нить
以内	いない	inai	в
田舎	いなか	inaka	сельская местность
祈る	いのる	inoru	молиться; желать (в поздравлении)
	いらっしゃる	irassharu	(уважительно) быть; приходить
	いっていらっしゃい (いってらっしゃい)	itteirasshai	(часто в ответ на いっ て き ます) хорошего дня
	いってまいります	ittemairimasu	до свидания, я ухожу; увидимся позже
植える	うえる	ueru	посадить ; вырастить
	うかがう	ukagau	посещать
受付	うけつけ	uketsuke	квитанция
受ける	うける	ukeru	проходить урок или тест
動く	うごく	ugoku	двигаться
	うそ	uso	ложь
	うち	uchi	пока
打つ	うつ	utsu	ударять; бить
美しい	うつくしい	utsukushii	красивый
写す	うつす	utsusu	копировать; фотографировать
移る	うつる	utsuru	переезжать; переселяться
腕	うで	ude	рука
	うまい	umai	вкусный
裏	うら	ura	обратная сторона
売り場	うりば	uriba	прилавок; торговый зал
	うれしい	ureshii	радостный; счастливый
	うん	un	(разг.) да
運転	うんてん・する	unten suru	водить
運転手	うんてんしゅ	untenshu	водитель
運動	うんどう・する	undou suru	движение; физические упражнения
	エスカレーター	esukareetaa	эскалатор
枝	えだ	eda	филиал ; ветка
選ぶ	えらぶ	erabu	выбрать
遠慮	えんりょ・する	enryo suru	предусмотрительность; скромность
	おいでになる	oideninaru	(уважительно) быть
お祝い	おいわい	oiwai	поздравление
	オートバイ	ootobai	мотоцикл
	おかげ	okage	благодаря
	おかしい	okashii	странно; смешно
億	おく	oku	сто миллионов
屋上	おくじょう	okujou	на крыше
贈り物	おくりもの	okurimono	подарок
送る	おくる	okuru	отправлять
遅れる	おくれる	okureru	опаздывать
起す	おこす	okosu	будить
行う	おこなう	okonau	делать; исполнять
怒る	おこる	okoru	сердиться ; злиться
押し入れ	おしいれ	oshiire	стенной шкаф
お嬢さん	おじょうさん	ojousan	девушка;барышня
お宅	おたく	otaku	(вежливо) ваш дом
落る	おちる	ochiru	падать
	おっしゃる	ossharu	(уважительно) говорить
夫	おっと	otto	муж
	おつり	otsuri	сдача
音	おと	oto	звук ; нота
落す	おとす	otosu	падать
踊り	おどり	odori	танец
踊る	おどる	odoru	танцевать
驚く	おどろく	odoroku	удивляться
お祭り	おまつり	omatsuri	фестиваль
お見舞い	おみまい	omimai	навещать больных
お土産	おみやげ	omiyage	сувенир
思い出す	おもいだす	omoidasu	помнить
思う	おもう	omou	думать ; чувствовать
	おもちゃ	omocha	игрушка
表	おもて	omote	передняя сторона
親	おや	oya	родители
下りる	おりる	oriru	выйти(из транспорта); спуститься
折る	おる	oru	ломать; складывать
お礼	おれい	orei	благодарность; вежливость
折れる	おれる	oreru	быть сломленным; быть сложенным
終わり	おわり	owari	конец
	カーテン	kaaten	занавеска
海岸	かいがん	kaigan	побережье
会議	かいぎ	kaigi	встреча; собрание
会議室	かいぎしつ	kaigishitsu	конференц-зал
会場	かいじょう	kaijou	актовый зал; место встречи
会話	かいわ	kaiwa	разговор
帰り	かえり	kaeri	возвращение
変える	かえる	kaeru	меняться
科学	かがく	kagaku	наука
鏡	かがみ	kagami	зеркало
掛ける	かける	kakeru	висеть; прислоняться;
飾る	かざる	kazaru	украшать
火事	かじ	kaji	пожар
	ガス	gasu	газ
	ガソリン	gasorin	бензин
	ガソリンスタンド	gasorinsutando	АЗС
堅/硬/固い	かたい	katai	жесткий; твердый
形	かたち	katachi	форма
片付ける	かたづける	katazukeru	приводить в порядок
課長	かちょう	kachou	заведующий отделом
勝つ	かつ	katsu	побеждать
	かっこう	kakkou	форма; очертания
家内	かない	kanai	домохозяйка; жена
悲しい	かなしい	kanashii	печальный
必ず	かならず	kanarazu	конечно ; обязательно
お・金持ち	かねもち/おかねもち	kanemochi/okanemochi	богач
彼女	かのじょ	kanojo	она
壁	かべ	kabe	стена
	かまう	kamau	беспокоиться; обращать внимание
髪	かみ	kami	волосы
噛む	かむ	kamu	кусать; грызть
通う	かよう	kayou	ходить [туда и обратно]; циркулировать
	ガラス	garasu	стекло
彼	かれ	kare	он 
彼ら	かれら	karera	они
乾く	かわく	kawaku	высушивать
代わり	かわり	kawari	замена
変わる	かわる	kawaru	изменяться; переменяться
考える	かんがえる	kangaeru	рассмотреть
関係	かんけい	kankei	связь; отношение
看護婦	かんごふ	kangofu	медсестра; сиделка
簡単	かんたん	kantan	простой
気	き	ki	дух ; настроение
機会	きかい	kikai	возможность; шанс
危険	きけん	kiken	опасность
聞こえる	きこえる	kikoeru	быть слышным; звучать
汽車	きしゃ	kisha	паровоз
技術	ぎじゅつ	gijutsu	искусство; технология ; мастерство
季節	きせつ	kisetsu	сезон
規則	きそく	kisoku	правила
	きっと	kitto	точно; обязательно
絹	きぬ	kinu	шелк
厳しい	きびしい	kibishii	строгий
気分	きぶん	kibun	настроение
決る	きまる	kimaru	быть определенным
君	きみ	kimi	(неофициально) Вы (используется мужчинами по отношению к женщинам)
決める	きめる	kimeru	решать
気持ち	きもち	kimochi	чувство ; настроение
着物	きもの	kimono	кимоно
客	きゃく	kyaku	гость ; клиент
急	きゅう	kyuu	срочно
急行	きゅうこう	kyuukou	экспресс
教育	きょういく	kyouiku	образование
教会	きょうかい	kyoukai	церковь
競争	きょうそう	kyousou	конкуренция
興味	きょうみ	kyoumi	интерес
近所	きんじょ	kinjo	окрестности
具合	ぐあい	guai	состояние ; здоровье
空気	くうき	kuuki	воздух; атмосфера
空港	くうこう	kuukou	аэропорт
草	くさ	kusa	трава
	くださる	kudasaru	(уважительно) давать (о действии 2-го или 3-го лица)
首	くび	kubi	шея
雲	くも	kumo	облако
比べる	くらべる	kuraberu	сравнить
	くれる	kureru	давать, дарить (о 2-м и 3-м лице)
暮れる	くれる	kureru	темнеть; чтобы прийти к концу
君	くん	kun	именной суффикс (используется по отношению к молодым мужчинам)
毛	け	ke	шерсть; мех
計画	けいかく・する	keikaku suru	планировать
経験	けいけん・する	keiken suru	испытывать
経済	けいざい	keizai	финансы; экономика
警察	けいさつ	keisatsu	полиция
	ケーキ	keeki	торт
	けが・する	kega suru	ранить
景色	けしき	keshiki	сцена ; пейзаж
消しゴム	けしゴム	keshigomu	ластик
下宿	げしゅく	geshuku	жилье
決して	けっして	kesshite	никогда (с отрицанием)
	けれど/けれども	keredo/keredomo	однако
原因	げんいん	genin	причина ; источник
	けんか・する	kenka suru	ссориться
研究	けんきゅう	kenkyuu	исследование
研究室	けんきゅうしつ	kenkyuushitsu	кабинет; лаборатория
見物	けんぶつ	kenbutsu	экскурсия
子	こ	ko	ребенок
	こう	kou	так
郊外	こうがい	kougai	окраина
講義	こうぎ	kougi	лекция
工業	こうぎょう	kougyou	промышленность; индустрия
高校	こうこう	koukou	средняя школа
高校生	こうこうせい	koukousei	учащийся средней школы
工場	こうじょう	koujou	завод
校長	こうちょう	kouchou	директор
交通	こうつう	koutsuu	трафик ; транспорт
講堂	こうどう	koudou	аудитория
高等学校	こうとうがっこう	koutougakkou	средняя школа
公務員	こうむいん	koumuin	политик
国際	こくさい	kokusai	международный
心	こころ	kokoro	ядро; сердце
御主人	ごしゅじん	goshujin	(с уважением) ваш муж
故障	こしょう・する	koshou suru	сломать
ご存じ	ごぞんじ	gozonji	вы знаете; вам известно
答	こたえ	kotae	ответ
	ごちそう	gochisou	угощение
	こと	koto	вещь ; факт; случай
小鳥	ことり	kotori	маленькая птичка
	このあいだ	konoaida	На днях ; в последнее время
	このごろ	konogoro	в настоящее время
細かい	こまかい	komakai	мелкий; тщательный
	ごみ	gomi	мусор
込む	こむ	komu	быть переполненным
米	こめ	kome	рис (в зерне)
	ごらんになる	goranninaru	(уважительно) видеть
	これから	korekara	теперь; впредь
怖い	こわい	kowai	страшный
壊す	こわす	kowasu	ломать
壊れる	こわれる	kowareru	быть поломанным
	コンサート	konsaato	концерт
今度	こんど	kondo	теперь ; в этот раз
	コンピュータ/コンピューター	konpyuuta/konpyuutaa	компьютер
今夜	こんや	konya	сегодня вечером
最近	さいきん	saikin	последнее время
最後	さいご	saigo	наконец; последний
最初	さいしょ	saisho	самый первый
坂	さか	saka	склон; холм
探す	さがす	sagasu	искать
下る	さがる	sagaru	спускаться
盛ん	さかん	sakan	процветающий
下げる	さげる	sageru	вешать; спускать
差し上げる	さしあげる	sashiageru	(вежливо) давать, поднимать
	さっき	sakki	некоторое время назад
寂しい	さびしい	sabishii	одинокий
さ来月	さらいげつ	saraigetsu	через месяц
さ来週	さらいしゅう	saraishuu	через неделю
	サラダ	sarada	салат
騒ぐ	さわぐ	sawagu	шуметь
触る	さわる	sawaru	касаться
産業	さんぎょう	sangyou	промышленность
	サンダル	sandaru	сандал
	サンドイッチ	sandoicchi	бутерброд
残念	ざんねん	zannen	разочарование
市	し	shi	город
死	し	shi	смерть
字	じ	ji	знак; иероглиф
試合	しあい	shiai	матч; игра
仕方	しかた	shikata	метод
	しかる	shikaru	ругать; бранить
試験	しけん	shiken	экзамен
事故	じこ	jiko	авария
地震	じしん	jishin	землетрясение
時代	じだい	jidai	эпоха
下着	したぎ	shitagi	нижнее белье
支度	したく・する	shitaku suru	подготовка; сборы
	しっかり	shikkari	твердо ; неуклонно
