会う	あう	au	to meet	встречать
青(い)	あお(い)	ao(i)	blue	синий
赤(い)	あか(い)	aka(i)	red	красный
明い	あかるい	akarui	bright	яркий
秋	あき	aki	autumn	осень
開く	あく	aku	to open, to become open	открывать ; стать открытым
開ける	あける	akeru	to open	открывать
上げる	あげる	ageru	to give	давать
朝	あさ	asa	morning	утро
朝御飯	あさごはん	asagohan	breakfast	завтрак
	あさって	asatte	day after tomorrow	послезавтра
足	あし	ashi	foot, leg	ноги
明日	あした	ashita	tomorrow	завтра
	あそこ	asoko	over there	там
遊ぶ	あそぶ	asobu	to play, to make a visit	играть; ходить в гости
暖かい	あたたかい	atatakai	warm	теплый
頭	あたま	atama	head	голова
新しい	あたらしい	atarashii	new	новый
	あちら(あっち)	achira(acchi)	there	там
暑い	あつい	atsui	hot	горячий
熱い	あつい	atsui	hot to the touch	горячий на ощупь
厚い	あつい	atsui	kind, deep, thick	добрый; глубокий; толстый
後	あと	ato	afterwards	Впоследствии; потом
	あなた	anata	you	вы
兄	あに	ani	(humble) older brother	(скромно) старший брат
姉	あね	ane	(humble) older sister	(скромно) старшая сестра
	あの	ano	that over there	то
	あの	ano	um...	хм...
	アパート	apaato	apartment	квартира
	あびる	abiru	to bathe, to shower	обливаться ; принимать душ
危ない	あぶない	abunai	dangerous	опасный
甘い	あまい	amai	sweet	сладкий
	あまり	amari	not very	не очень (с отрицанием)
雨	あめ	ame	rain	дождь
飴	あめ	ame	candy	рисовая тянучка
洗う	あらう	arau	to wash	мыть
	ありがとう	arigatou	thank you	спасибо
	ある	aru	to be,to have (used for inanimate objects)	быть ; иметь (для неодушевленных объектов)
歩く	あるく	aruku	to walk	ходить
	あれ	are	that	то
	いい/よい	ii/yoi	good	хорошо
	いいえ	iie	no	нет
言う	いう	iu	to say	сказать
家	いえ	ie	house	дом
	いかが	ikaga	how	как
行く	いく	iku	to go	идти
	いくつ	ikutsu	how many?,how old?	сколько ? ; сколько лет ?
	いくら	ikura	how much?	сколько?
池	いけ	ike	pond	пруд
医者	いしゃ	isha	medical doctor	врач
	いす	isu	chair	стул
忙しい	いそがしい	isogashii	busy, irritated	занятый ; раздраженный
痛い	いたい	itai	painful	болеть
一	いち	ichi	one	один
一日	いちにち	ichinichi	first of the month	первое число месяца
	いちばん	ichiban	best, first	лучший ; первый
	いつ	itsu	when	когда
五日	いつか	itsuka	five days, fifth day	пять дней ; пятый день
一緒	いっしょ	issho	together	вместе
五つ	いつつ	itsutsu	five	пять
