会う	あう	au	встречать
青(い)	あお(い)	ao(i)	синий
赤(い)	あか(い)	aka(i)	красный
明い	あかるい	akarui	яркий
秋	あき	aki	осень
開く	あく	aku	открывать ; стать открытым
開ける	あける	akeru	открывать
上げる	あげる	ageru	давать
朝	あさ	asa	утро
朝御飯	あさごはん	asagohan	завтрак
	あさって	asatte	послезавтра
足	あし	ashi	ноги 
明日	あした	ashita	завтра
	あそこ	asoko	там
遊ぶ	あそぶ	asobu	играть; ходить в гости
暖かい	あたたかい	atatakai	теплый
頭	あたま	atama	голова
新しい	あたらしい	atarashii	новый
	あちら(あっち)	achira(acchi)	там
暑い	あつい	atsui	горячий
熱い	あつい	atsui	горячий на ощупь
厚い	あつい	atsui	добрый; глубокий; толстый
後	あと	ato	Впоследствии; потом
	あなた	anata	вы
兄	あに	ani	(скромно) старший брат
姉	あね	ane	(скромно) старшая сестра
	あの	ano	то
	あの	ano	хм...
	アパート	apaato	квартира
	あびる	abiru	обливаться ; принимать душ
危ない	あぶない	abunai	опасный
甘い	あまい	amai	сладкий
	あまり	amari	не очень (с отрицанием)
雨	あめ	ame	дождь
飴	あめ	ame	рисовая тянучка
洗う	あらう	arau	мыть
	ありがとう	arigatou	спасибо
	ある	aru	быть ; иметь (для неодушевленных объектов)
歩く	あるく	aruku	ходить
	あれ	are	то
	いい/よい	ii/yoi	хорошо
	いいえ	iie	нет
言う	いう	iu	сказать
家	いえ	ie	дом
	いかが	ikaga	как
行く	いく	iku	идти
	いくつ	ikutsu	сколько ? ; сколько лет ?
	いくら	ikura	сколько?
池	いけ	ike	пруд
医者	いしゃ	isha	врач
	いす	isu	стул
忙しい	いそがしい	isogashii	занятый ; раздраженный
痛い	いたい	itai	болеть
一	いち	ichi	один
一日	いちにち	ichinichi	первое число месяца
	いちばん	ichiban	лучший ; первый
	いつ	itsu	когда
五日	いつか	itsuka	пять дней ; пятый день
一緒	いっしょ	issho	вместе
五つ	いつつ	itsutsu	пять
	いつも	itsumo	всегда
犬	いぬ	inu	собака
今	いま	ima	сейчас
意味	いみ	imi	значение; смысл
妹	いもうと	imouto	(скромно) младшая сестра
嫌	いや	iya	неприятный
入口	いりぐち	iriguchi	вход
居る	いる	iru	быть ; иметь (используется для людей и животных)
要る	いる	iru	нуждаться
入れる	いれる	ireru	положить в
色	いろ	iro	цвет
	いろいろ	iroiro	различный
上	うえ	ue	верх; наверху; на вершине
後ろ	うしろ	ushiro	за; позади
薄い	うすい	usui	тонкий ; слабый
歌	うた	uta	песня
歌う	うたう	utau	петь
生まれる	うまれる	umareru	родиться
海	うみ	umi	море
売る	うる	uru	продавать
煩い	うるさい	urusai	шумный; раздражающий
上着	うわぎ	uwagi	верхняя одежда
絵	え	e	картина
映画	えいが	eiga	кино; фильм
映画館	えいがかん	eigakan	кинотеатр
英語	えいご	eigo	Английский язык
	ええ	ee	да
駅	えき	eki	станция
	エレベーター	erebeetaa	лифт
鉛筆	えんぴつ	enpitsu	карандаш
	おいしい	oishii	восхитительный
多い	おおい	ooi	многие
大きい/大きな	おおきい/おおきな	ookii/ookina	большой
大勢	おおぜい	oozei	большое количество людей
お母さん	おかあさん	okaasan	(вежливо) мать
お菓子	おかし	okashi	сладости ; конфеты
お金	おかね	okane	деньги
起きる	おきる	okiru	вставать; просыпаться
置く	おく	oku	класть; положить
奥さん	おくさん	okusan	(вежливо) жена
お酒	おさけ	osake	алкоголь ; рисовое вино
お皿	おさら	osara	тарелка; блюдо; чашка весов; порция
伯父/叔父	おじいさん	ojiisan	дед ; пожилой мужчина 
教える	おしえる	oshieru	учить ; рассказать; осведомлять
伯父/叔父	おじさん	ojisan	дядя; мужчина среднего возраста 
押す	おす	osu	толкать; давить
遅い	おそい	osoi	поздный; медленный
お茶	おちゃ	ocha	зеленый чай
お手洗い	おてあらい	otearai	ванная комната
お父さん	おとうさん	otousan	(вежливо) отец
弟	おとうと	otouto	младший брат
男	おとこ	otoko	мужчина
男の子	おとこのこ	otokonoko	мальчик
一昨日	おととい	ototoi	позавчера
一昨年	おととし	ototoshi	позапрошлый год
大人	おとな	otona	взрослый 
	おなか	onaka	желудок
同じ	おなじ	onaji	одинаковый
お兄さん	おにいさん	oniisan	(вежливо) старший брат
お姉さん	おねえさん	oneesan	(вежливо) старшая сестра
	おばあさん	obaasan	бабушка ; пожилая женщина 
伯母さん/叔母さん	おばさん	obasan	тетя
お風呂	おふろ	ofuro	ванна
お弁当	おべんとう	obentou	ланч; бенто
覚える	おぼえる	oboeru	помнить
	おまわりさん	omawarisan	 (разг.) полицейский
重い	おもい	omoi	тяжелый
	おもしろい	omoshiroi	интересный
泳ぐ	およぐ	oyogu	плавать
降りる	おりる	oriru	выходить; спускаться
終る	おわる	owaru	заканчивать; подходить к концу
音楽	おんがく	ongaku	музыка
女	おんな	onna	женщина
女の子	おんなのこ	onnanoko	девочка
お早う	おはよう	ohayou	доброе утро
外国	がいこく	gaikoku	зарубежная страна
外国人	がいこくじん	gaikokujin	иностранец
会社	かいしゃ	kaisha	компания
階段	かいだん	kaidan	лестница
買い物	かいもの	kaimono	покупка товаров
買う	かう	kau	покупать
返す	かえす	kaesu	возвращать что-то
帰る	かえる	kaeru	возвращаться
	かかる	kakaru	занимать (о времени и деньгах)
	かぎ	kagi	ключ
書く	かく	kaku	писать
学生	がくせい	gakusei	студент
	かける	kakeru	звонить по телефону
傘	かさ	kasa	зонт
貸す	かす	kasu	давать в долг
風	かぜ	kaze	ветер
風邪	かぜ	kaze	холодный
家族	かぞく	kazoku	семья
方	かた	kata	человек ; сторона
学校	がっこう	gakkou	школа
	カップ	kappu	чашка
家庭	かてい	katei	семья; дом
角	かど	kado	угол (внешний)
	かばん	kaban	сумка ; портфель
花瓶	かびん	kabin	ваза
紙	かみ	kami	бумага
	カメラ	kamera	камера
火曜日	かようび	kayoubi	вторник
辛い	からい	karai	пряный; острый
体	からだ	karada	тело
借りる	かりる	kariru	брать в долг; одалживать
軽い	かるい	karui	легкий
	カレー	karee	карри (приправа или блюдо)
	カレンダー	karendaa	календарь
川/河	かわ	kawa	река
	かわいい	kawaii	милый
漢字	かんじ	kanji	иероглиф; кандзи
木	き	ki	дерево 
黄色(い)	きいろ	kiiro	желтый
消える	きえる	kieru	исчезать
聞く	きく	kiku	слышать; слушать 
北	きた	kita	север
	ギター	gitaa	гитара
汚い	きたない	kitanai	грязный
喫茶店	きっさてん	kissaten	каффетерий; буфет
切手	きって	kitte	почтовая марка
切符	きっぷ	kippu	билет
昨日	きのう	kinou	вчера
九	きゅう / く	kyuu / ku	девять
牛肉	ぎゅうにく	gyuuniku	говядина
牛乳	ぎゅうにゅう	gyuunyuu	молоко
今日	きょう	kyou	сегодня
教室	きょうしつ	kyoushitsu	класс; аудитория
兄弟	きょうだい	kyoudai	(скромно) братья и сестры
去年	きょねん	kyonen	прошлый год
嫌い	きらい	kirai	ненависный; неприятный
切る	きる	kiru	резать
着る	きる	kiru	носить (об одежде)
	きれい	kirei	красивый
	キロ/キログラム	kiro/kiroguramu	килограмм
	キロ/キロメートル	kiro/kiromeetoru	километр
銀行	ぎんこう	ginkou	банк
金曜日	きんようび	kinyoubi	пятница
薬	くすり	kusuri	лекаство
	ください	kudasai	пожалуйста
