People and things
部	ぶ	bu	Copies of a magazine or newspaper, or other packets of papers	Журналы, газеты , пакеты документов
台	だい	dai	Cars, bicycles, machines, mechanical devices, household appliances	Автомобили , велосипеды , машины, механические устройства , бытовая техника
杯	はい	hai, ぱい pai, ばい bai	Cups and glasses of drink, spoonsful; cuttlefish, octopuses, crabs, squid, abalone, boats (slang)	Кружки, бокалы напитка ; каракатицы, осьминоги , крабы, моллюски
匹	ひき	hiki, ぴき piki, びき biki	Small animals, insects, fish, reptiles, amphibians, oni (demons/ogres)	Мелкие животные, насекомые, рыбы , рептилии, амфибии , демоны
本	ほん	hon, ぽん pon, ぼん bon	Long, thin objects: rivers, roads, train tracks, ties, pencils, bottles, guitars; also, metaphorically, telephone calls, train or bus routes, movies (see also: tsūwa), points or bounds in sports events. Although 本 also means "book", the counter for books is satsu.	Длинные, тонкие объекты: реки, дороги , железнодорожные пути , галстуки, карандаши , бутылки, гитары ;  телефонные звонки , маршруты поезда или автобуса , фильмы, баллы в спортивных мероприятиях.
階	かい	kai, がい gai	Number of floors, storeys	Этажи
個, 箇, 个, ヶ	こ	ko	General measurement word, used when there is no specific counter. Implies that the item is small and/or round.[1] 個 is also used for military units.	Общее счетное слово , используется, когда нет конкретного счетного слова . Подразумевает , что этот пункт является небольшим и / или круглый . [1]个также используется для воинских частей .
枚	まい	mai	Thin, flat objects: sheets of paper, photographs, plates, articles of clothing (see also: chaku)	Тонкие , плоские объекты : листы бумаги , фотографии , тарелки, предметы одежды (см. также : Chaku )
名	めい	mei	People (polite)	Люди ( вежливо )
面	めん	men	Mirrors, boards for board games (chess, igo, shogi), stages of computer games, walls of a room, tennis courts	Зеркала, доски для настольных игр ( шахматы, МПО , сеги ), этапах компьютерных игр, стены комнаты , теннисные корты
人	にん	nin	People (but see table of exceptions below)	Люди
り/人	り	ri	People, used in the words 一人 (ひとり) and 二人 (ふたり)	Люди , используется в словах 一人(ひとり) и 二人(ふたり)
冊	さつ	satsu	Books	Книги
つ	つ	tsu	General-purpose counter, used as part of the indigenous Japanese numbers 一つ ("one thing"), 二つ ("two things"), 三つ ("three things"), etc.	Счетчик общего назначения , используется как часть японских чисел коренных一つ( "одно" ) ,二つ(" две вещи "),三つ("три вещи ") , и т.д.
話	わ	wa	Stories, episodes of TV series, etc.	Истории , эпизоды сериалов и т.д.
