	あっ	a	Ah!;Oh!	ах
愛	あい	ai	love	любовь
挨拶	あいさつ	aisatsu	greeting;salutation	приветствие; приветствие
愛情	あいじょう	aijou	love;affection	любовь; любовь
合図	あいず	aizu	sign;signal	сигнал
	アイスクリーム	aisukuriimu	ice cream	мороженое
愛する	あいする	aisuru	to love	любить
相手	あいて	aite	companion;partner;company	партнер; оппонент
	あいにく	ainiku	unfortunately;Sorry; but....	к сожалению; но ....
	アイロン	airon	(electric) iron	утюг
	アウト	auto	out	вне
明かり	あかり	akari	lamplight;light (in general);brightness	свет лампы; свет (в общем); яркость
空き	あき	aki	room;time to spare;emptiness	комната; свободноге время; пустота
明らか	あきらか	akiraka	obvious;evident;clear	очевидно; ясно
諦める	あきらめる	akirameru	to give up;to abandon	отказываться от; сдаваться
飽きる	あきる	akiru	to get tired of;to lose interest in;to have enough	надоедать; терять интерес к; иметь достаточно
握手	あくしゅ	akushu	handshake	рукопожатие
悪魔	あくま	akuma	devil;demon;evil spirit	демон; злой дух
明ける	あける	akeru	to dawn;to become daylight	светать
	あした	ashita	tomorrow	завтра
預ける	あずける	azukeru	to give into custody;to entrust;to deposit	давать на время; сдавать на хранение
汗	あせ	ase	sweat;perspiration	пот
与える	あたえる	ataeru	to give;to present;to award	дать; представить; наградить
暖かい	あたたか(い)	atataka(i)	warm;mild	теплый
辺り	あたり	atari	vicinity;nearby	окрестности
当たる	あたる	ataru	to be hit;to be successful;to be equivalent to	попадать; попадать (под дождь и т.п.); быть угаданным; иметь успех
	あちこち	achikochi	here and there	там и сям
扱う	あつかう	atsukau	to handle;to deal with;to treat	обращаться; иметь дело с
集まり	あつまり	atsumari	gathering;meeting;assembly;collection	сбор; встреча; сборка; коллекция
当てる	あてる	ateru	to hit;to apply a patch	ударить
跡	あと	ato	(1) trace;tracks;mark;sign;(2) remains;ruins;(3) scar	след;руины;шрам
穴	あな	ana	hole	отверстие
浴びる	あびる	abiru	to bathe;to bask in the sun;to shower	купаться; чтобы погреться на солнце; принять душ
油	あぶら	abura	oil	масло
余り	あまり	amari	not very (used as adverb);not much	не очень (используется как наречие); не так много
誤り	あやまり	ayamari	error	ошибка
粗	あら	ara	defect;flaw;blemish;weak point	отбросы; недостаток
嵐	あらし	arashi	storm;tempest	буря
新た	あらた	arata	new;fresh;novel	новый; свежий
	あらゆる	arayuru	all;every	всяческие; всевозможные
表す	あらわす	arawasu	to express;to show;to reveal	выразить; показать; раскрыть
現す	あらわす	arawasu	to show;to indicate;to display	показыать; указывать; отображать
現れ	あらわれ	araware	embodiment;materialization	воплощение; материализация
現れる	あらわれる	arawareru	(1) to appear;to come in sight;to become visible;(2) to express oneself	появляться; прийти в поле зрения; стать видимым
有る	ある	aru	to be;to have	быть; находиться где-л
或	ある	aru	a certain...;some...	определенный; некоторый
	あるいは	aruiha	or;possibly	или; либо; возможно же;
	アルバム	arubamu	album	альбом
泡	あわ	awa	bubble;foam;froth;head on beer	пена
合わせる	あわせる	awaseru	to join together;to be opposite;to face;to unite	объединяться; быть напротив; объединить
哀れ	あわれ	aware	helpless;pity;sorrow;grief	жаль; печаль; горе
案	あん	an	plan;suffix meaning draft	план; проект
暗記	あんき	anki	memorization;learning by heart	запоминание напамять
安定	あんてい	antei	stability;equilibrium	стабильность; равновесие
案内	あんない	annai	information;guidance;leading	введение; руководство
	あんなに	annani	to that extent;to that degree	постольку; до такой степени
	あんまり	anmari	not very;not much;remainder;rest	не очень; не так много; остаток; остальные
胃	い	i	stomach	желудок
	いい	ii	good	хорошо
	よい	yoi	good;nice;pleasant;ok	хорошо; хороший; приятным; порядке
いえ	いえ	ie	same as いいえ	нет (то же как いいえ)
委員	いいん	iin	committee member	член комитета
言う	ゆう	yuu	to say	говорить
意外	いがい	igai	unexpected;surprising	неожиданный
行き	いき(ゆき)	iki (yuki)	going	идущий
息	いき	iki	breath;tone	дыхание
勢い	いきおい	ikioi	force;vigor;energy;spirit	сила; энергетика; дух
生き物	いきもの	ikimono	living thing;animal	живое существо
幾つ	いくつ	ikutsu	how many?;how old?	сколько?; сколько лет?
幾ら	いくら	ikura	how much?;how many?	сколько?
	いけない	ikenai	must not do;bad;wrong;not good	не надо это делать; неправильно
医師	いし	ishi	doctor;physician	врач
意思	いし	ishi	intention;purpose	намерение; цель
意志	いし	ishi	will;volition	воля
維持	いじ	iji	maintenance;preservation	поддержка; охрана
意識	いしき	ishiki	consciousness;senses	сознание
異常	いじょう	ijou	strangeness;abnormality;disorder	странность; аномалия
椅子	いす	isu	chair	стул
泉	いずみ	izumi	spring;fountain	источник; ключ; родник
	いずれ	izure	where;which;who	какой; который
以前	いぜん	izen	ago;since;before;previous	прежде; предыдущий
板	いた	ita	board;plank	доска; доски
偉大	いだい	idai	greatness	величие
抱く	いだく	idaku	(sl) to embrace;to hug;to harbour;to entertain	охватывать; обниматьть;
	いたずら	itazura	tease;prank;trick;practical joke	дразнить; шалость; трюк; шутка
	いただきます	itadakimasu	expression of gratitude before meals	выражение благодарности перед едой
